place_verse_id,reference_id,place_label_id,place_id,place_label,place_label_count,place_verse_sequence,place_verse_notes
GEN 1:1__heaven_1_1,GEN 1:1,heaven_1_1,heaven_1,heaven,1,1,the distinction drawn by the text is between heaven (the abode of stars) and earth (the planet)
GEN 1:1__Earth_1_1,GEN 1:1,Earth_1_1,Earth_1,Earth,1,2,
GEN 1:2__Earth_1_1,GEN 1:2,Earth_1_1,Earth_1,Earth,1,3,
GEN 1:2__waters_1_1,GEN 1:2,waters_1_1,waters_1,waters,1,4,
GEN 1:3__NA,GEN 1:3,NA,NA,NA,,5,
GEN 1:4__NA,GEN 1:4,NA,NA,NA,,6,
GEN 1:5__NA,GEN 1:5,NA,NA,NA,,7,
GEN 1:6__heaven_2_2,GEN 1:6,heaven_2_2,heaven_2,expanse,1,8,
GEN 1:6__waters_1_1,GEN 1:6,waters_1_1,waters_1,waters,3,9,
GEN 1:7__heaven_2_2,GEN 1:7,heaven_2_2,heaven_2,expanse,1,10,
GEN 1:7__waters_1_1,GEN 1:7,waters_1_1,waters_1,waters,2,11,waters above = clouds & waters below = oceans?
GEN 1:8__heaven_2_2,GEN 1:8,heaven_2_2,heaven_2,expanse,1,12,
GEN 1:8__heaven_2_1,GEN 1:8,heaven_2_1,heaven_2,heaven,1,13,
GEN 1:9__waters_1_1,GEN 1:9,waters_1_1,waters_1,waters,1,14,"""waters below the heavens"""
GEN 1:9__earth_2_2,GEN 1:9,earth_2_2,earth_2,dry land,1,15,
GEN 1:10__earth_2_2,GEN 1:10,earth_2_2,earth_2,dry land,1,16,
GEN 1:10__earth_2_2,GEN 1:10,earth_2_2,earth_2,earth,1,17,
GEN 1:10__waters_1_1,GEN 1:10,waters_1_1,waters_1,waters,1,18,
GEN 1:10__waters_1_2,GEN 1:10,waters_1_2,waters_1,sea,1,19,
GEN 1:11__earth_2_2,GEN 1:11,earth_2_2,earth_2,earth,1,20,
GEN 1:12__earth_2_2,GEN 1:12,earth_2_2,earth_2,earth,1,21,
GEN 1:13__NA,GEN 1:13,NA,NA,NA,,22,
GEN 1:14__heaven_1_2,GEN 1:14,heaven_1_2,heaven_1,expanse of the heavens,1,23,
GEN 1:15__heaven_1_2,GEN 1:15,heaven_1_2,heaven_1,expanse of the heavens,1,24,
GEN 1:15__Earth_1_1,GEN 1:15,Earth_1_1,Earth_1,Earth,1,25,
GEN 1:16__NA,GEN 1:16,NA,NA,NA,,26,
GEN 1:17__heaven_1_2,GEN 1:17,heaven_1_2,heaven_1,expanse of the heavens,1,27,
GEN 1:17__Earth_1_1,GEN 1:17,Earth_1_1,Earth_1,Earth,1,28,
GEN 1:18__NA,GEN 1:18,NA,NA,NA,,29,
GEN 1:19__NA,GEN 1:19,NA,NA,NA,,30,
GEN 1:20__Earth_1_1,GEN 1:20,Earth_1_1,Earth_1,Earth,1,31,
GEN 1:20__heaven_2_3,GEN 1:20,heaven_2_3,heaven_2,expanse of the heavens,1,32,
GEN 1:21__NA,GEN 1:21,NA,NA,NA,,33,
GEN 1:22__waters_1_2,GEN 1:22,waters_1_2,waters_1,sea,1,34,
GEN 1:22__earth_2_2,GEN 1:22,earth_2_2,earth_2,earth,1,35,
GEN 1:23__NA,GEN 1:23,NA,NA,NA,,36,
GEN 1:24__earth_2_2,GEN 1:24,earth_2_2,earth_2,earth,2,37,"earth, beasts of the earth"
